rule,string,count
1218,0100001100100000,4
1219,1100001100100000,5
1220,0010001100100000,4
1221,1010001100100000,5
1222,0110001100100000,5
1223,1110001100100000,6
1224,0001001100100000,4
1225,1001001100100000,5
1226,0101001100100000,5
1227,1101001100100000,6
1228,0011001100100000,5
1229,1011001100100000,6
1230,0111001100100000,6
1231,1111001100100000,7
1232,0000101100100000,4
1233,1000101100100000,5
1234,0100101100100000,5
1235,1100101100100000,6
1236,0010101100100000,5
1237,1010101100100000,6
1238,0110101100100000,6
1239,1110101100100000,7
1240,0001101100100000,5
1241,1001101100100000,6
1242,0101101100100000,6
1243,1101101100100000,7
1244,0011101100100000,6
